dropped_from,dropped_token,outcome,estimate,ci_lo,ci_hi,p,n_texts
bf_name,Aisha Mosley,QI,0.006113445378151255,-0.001092436974789922,0.013340336134453774,0.09793,68
bf_name,Aisha Mosley,PI,0.020147058823529414,0.00735294117647059,0.032818627450980395,0.001905,68
bf_name,Aisha Mosley,AR,0.010294117647058827,-0.002499999999999995,0.023382352941176472,0.117555,68
bf_name,Ebony Mosley,QI,0.006260504201680667,-0.001302521008403368,0.013865546218487393,0.10876,68
bf_name,Ebony Mosley,PI,0.023088235294117646,0.010024509803921569,0.0360055147058823,0.00043,68
bf_name,Ebony Mosley,AR,0.007941176470588236,-0.004705882352941175,0.021029411764705887,0.23595,68
bf_name,Kenya Mosley,QI,0.0035510204081632564,-0.003897959183673475,0.0106938775510204,0.34429,70
bf_name,Kenya Mosley,PI,0.021000000000000005,0.008476190476190476,0.033357142857142856,0.000915,70
bf_name,Kenya Mosley,AR,0.010571428571428574,-0.002142857142857142,0.023571428571428573,0.10815,70
bf_name,Lakisha Mosley,QI,0.005456349206349199,-0.0018055555555555635,0.012698412698412693,0.139295,72
bf_name,Lakisha Mosley,PI,0.02648148148148148,0.01402777777777778,0.03902777777777777,4e-05,72
bf_name,Lakisha Mosley,AR,0.010138888888888892,-0.0019444444444444411,0.022777777777777775,0.101815,72
bf_name,Latoya Mosley,QI,0.005129870129870121,-0.0022510822510822585,0.012510822510822498,0.174955,66
bf_name,Latoya Mosley,PI,0.02303030303030303,0.010125631313131303,0.0357070707070707,0.000335,66
bf_name,Latoya Mosley,AR,0.012424242424242426,-0.00015151515151515032,0.025757575757575757,0.061195,66
bf_name,Precious Mosley,QI,0.003769841269841262,-0.0031547619047619063,0.010595238095238081,0.291075,72
bf_name,Precious Mosley,PI,0.02502314814814815,0.012730902777777777,0.03759259259259259,7.5e-05,72
bf_name,Precious Mosley,AR,0.011250000000000001,-0.0009722222222222198,0.02416666666666667,0.078675,72
bf_name,Tamika Mosley,QI,0.004131274131274123,-0.0029536679536679624,0.011004343629343584,0.247565,74
bf_name,Tamika Mosley,PI,0.026846846846846847,0.014617117117117114,0.039414977477477436,1.5e-05,74
bf_name,Tamika Mosley,AR,0.006621621621621623,-0.004729729729729729,0.018243243243243244,0.252255,74
bf_name,Tanisha Mosley,QI,0.0043061224489795834,-0.0029795918367346973,0.011387755102040802,0.24539,70
bf_name,Tanisha Mosley,PI,0.027428571428571427,0.015666666666666666,0.039357142857142854,0.0,70
bf_name,Tanisha Mosley,AR,0.008,-0.004428571428571427,0.020714285714285716,0.218465,70
wm_name,Brad Mosley,QI,0.0031385281385281328,-0.004589285714285722,0.010779220779220776,0.42578,66
wm_name,Brad Mosley,PI,0.021565656565656562,0.008560606060606055,0.034772727272727275,0.00127,66
wm_name,Brad Mosley,AR,0.013333333333333334,0.0010606060606060635,0.025909090909090913,0.036345,66
wm_name,Brett Mosley,QI,0.0058953722334003965,-0.001146881287726363,0.012877263581488923,0.10321,71
wm_name,Brett Mosley,PI,0.024460093896713622,0.011737089201877937,0.037253521126760565,0.000145,71
wm_name,Brett Mosley,AR,0.008450704225352114,-0.003661971830985915,0.02098591549295775,0.176005,71
wm_name,Hunter Mosley,QI,0.0048447204968944,-0.002670807453416157,0.012194616977225665,0.20309,69
wm_name,Hunter Mosley,PI,0.0286231884057971,0.016352657004830917,0.040870169082125554,1e-05,69
wm_name,Hunter Mosley,AR,0.009710144927536232,-0.002753623188405797,0.022467391304347516,0.138255,69
wm_name,Jake Mosley,QI,0.004171428571428564,-0.0026857142857142965,0.010933333333333321,0.23566,75
wm_name,Jake Mosley,PI,0.02291111111111111,0.01111111111111111,0.034911111111111115,0.000105,75
wm_name,Jake Mosley,AR,0.008266666666666669,-0.0037333333333333294,0.020536666666666384,0.18637,75
wm_name,Logan Mosley,QI,0.0028138528138528054,-0.004740800865800883,0.010259740259740248,0.474825,66
wm_name,Logan Mosley,PI,0.020681818181818183,0.007954545454545454,0.03361111111111112,0.001725,66
wm_name,Logan Mosley,AR,0.007575757575757579,-0.0054545454545454515,0.021212121212121213,0.26061,66
wm_name,Matthew Mosley,QI,0.004540117416829735,-0.0025636007827788752,0.011487279843444215,0.20815,73
wm_name,Matthew Mosley,PI,0.023675799086757987,0.011438356164383556,0.035821917808219174,8.5e-05,73
wm_name,Matthew Mosley,AR,0.006712328767123289,-0.005205479452054794,0.018904109589041096,0.27531,73
wm_name,Seth Mosley,QI,0.007515527950310555,0.0006418219461697689,0.014513975155279461,0.034665,69
wm_name,Seth Mosley,PI,0.026328502415458935,0.01340579710144928,0.03908212560386474,1e-05,69
wm_name,Seth Mosley,AR,0.013913043478260872,0.0011594202898550742,0.02710144927536232,0.03451,69
wm_name,Todd Mosley,QI,0.005513078470824943,-0.0017706237424547355,0.012857142857142848,0.144185,71
wm_name,Todd Mosley,PI,0.025093896713615022,0.012769953051643187,0.03762910798122066,9.5e-05,71
wm_name,Todd Mosley,AR,0.009436619718309862,-0.003098591549295771,0.022538732394365893,0.14495,71
