outcome,n,mean,delta,p_lo,p_hi,tost_p,equivalent
QI,400,0.004821428571428564,0.1,0.0,5.218833238571417e-95,5.218833238571417e-95,True
PI,400,0.024187499999999997,0.1,0.0,1.1934612539532098e-31,1.1934612539532098e-31,True
AR,400,0.009625000000000002,0.1,0.0,5.375322398463039e-41,5.375322398463039e-41,True
