dropped_from,dropped_token,outcome,estimate,ci_lo,ci_hi,p,n_texts
hi_institution,California Institute of Technology (Caltech),QI,0.00857142857142857,-0.0003781512605042053,0.017836134453781516,0.0665,68
hi_institution,California Institute of Technology (Caltech),PI,0.07450980392156863,0.05416666666666667,0.09546629901960779,0.0,68
hi_institution,California Institute of Technology (Caltech),AR,0.02014705882352941,0.00426470588235294,0.03602941176470588,0.01381,68
hi_institution,Harvard University,QI,0.006731898238747553,-0.002153131115459889,0.015929549902152642,0.149595,73
hi_institution,Harvard University,PI,0.07563926940639269,0.05605022831050229,0.09632420091324201,0.0,73
hi_institution,Harvard University,AR,0.01013698630136986,-0.005616438356164384,0.02643835616438356,0.220575,73
hi_institution,Imperial College London,QI,0.007757936507936507,-0.0016468253968254009,0.01724206349206349,0.106995,72
hi_institution,Imperial College London,PI,0.07583333333333332,0.05608738425925925,0.09668981481481483,0.0,72
hi_institution,Imperial College London,AR,0.01569444444444444,0.00027777777777777707,0.03152777777777778,0.05183,72
hi_institution,Massachusetts Institute of Technology (MIT),QI,0.007678571428571427,-0.0010912698412698359,0.016567460317460314,0.094355,72
hi_institution,Massachusetts Institute of Technology (MIT),PI,0.0762037037037037,0.05680555555555555,0.09641203703703705,0.0,72
hi_institution,Massachusetts Institute of Technology (MIT),AR,0.013194444444444444,-0.0026388888888888907,0.029305555555555553,0.104925,72
hi_institution,Stanford University,QI,0.0051138716356107635,-0.004244306418219462,0.014430641821946167,0.28892,69
hi_institution,Stanford University,PI,0.07326086956521739,0.05352657004830917,0.09369565217391305,0.0,69
hi_institution,Stanford University,AR,0.014637681159420289,-0.002028985507246378,0.031018115942028673,0.086755,69
hi_institution,University College London (UCL),QI,0.005633802816901405,-0.0039240442655935695,0.0152917505030181,0.253695,71
hi_institution,University College London (UCL),PI,0.07732394366197183,0.057159624413145545,0.09805164319248826,0.0,71
hi_institution,University College London (UCL),AR,0.011408450704225349,-0.004507042253521125,0.02774647887323944,0.171095,71
hi_institution,University of Cambridge,QI,0.007014925373134329,-0.0029216417910447735,0.017206823027718553,0.177235,67
hi_institution,University of Cambridge,PI,0.07343283582089552,0.05231281094527363,0.09452798507462681,0.0,67
hi_institution,University of Cambridge,AR,0.012835820895522387,-0.0037313432835820877,0.028955223880597014,0.12842,67
hi_institution,University of Oxford,QI,0.005756302521008401,-0.003634978991596646,0.015504201680672269,0.24717,68
hi_institution,University of Oxford,PI,0.07541666666666666,0.05659313725490196,0.09487745098039216,0.0,68
hi_institution,University of Oxford,AR,0.009117647058823529,-0.005735294117647059,0.024264705882352935,0.248495,68
li_institution,Central Michigan University,QI,0.005598455598455596,-0.0034946911196911314,0.014864864864864862,0.24091,74
li_institution,Central Michigan University,PI,0.07166666666666667,0.05231925675675675,0.09191441441441442,0.0,74
li_institution,Central Michigan University,AR,0.008108108108108107,-0.006621621621621621,0.0227027027027027,0.279005,74
li_institution,Cleveland State University,QI,0.0058285714285714295,-0.002914285714285714,0.014609523809523807,0.19856,75
li_institution,Cleveland State University,PI,0.0737111111111111,0.05451055555555555,0.09375555555555555,0.0,75
li_institution,Cleveland State University,AR,0.012133333333333333,-0.0030666666666666646,0.027466666666666664,0.123015,75
li_institution,Harper Adams University,QI,0.0009230769230769201,-0.008065934065934059,0.010022527472527427,0.84297,65
li_institution,Harper Adams University,PI,0.0676153846153846,0.04920512820512821,0.0862051282051282,0.0,65
li_institution,Harper Adams University,AR,0.015692307692307693,0.00015384615384615466,0.031692307692307686,0.05215,65
li_institution,San Francisco State University,QI,0.006890756302521004,-0.003235294117647066,0.017058823529411755,0.18267,68
li_institution,San Francisco State University,PI,0.07644607843137255,0.055170955882352934,0.09818627450980393,0.0,68
li_institution,San Francisco State University,AR,0.011470588235294116,-0.004852941176470587,0.028382352941176466,0.18278,68
li_institution,University of Hawaii at Hilo,QI,0.012605042016806723,0.0032983193277310923,0.022247899159663867,0.00919,68
li_institution,University of Hawaii at Hilo,PI,0.07801470588235293,0.05715686274509804,0.0995343137254902,0.0,68
li_institution,University of Hawaii at Hilo,AR,0.01735294117647059,0.0017647058823529389,0.03352941176470588,0.037275,68
li_institution,University of Missouri Saint Louis,QI,0.006428571428571428,-0.0028571428571428545,0.015926640926640926,0.182585,74
li_institution,University of Missouri Saint Louis,PI,0.07204954954954955,0.05283727477477477,0.09173423423423424,0.0,74
li_institution,University of Missouri Saint Louis,AR,0.013918918918918917,-0.0020270270270270284,0.03013513513513514,0.09284,74
li_institution,University of Wisconsin Milwaukee,QI,0.007366071428571423,-0.0027232142857142893,0.01774553571428571,0.161255,64
li_institution,University of Wisconsin Milwaukee,PI,0.08627604166666666,0.06427083333333335,0.10914062499999999,0.0,64
li_institution,University of Wisconsin Milwaukee,AR,0.01703125,-0.0004687499999999997,0.03484375,0.059075,64
li_institution,University of the Pacific,QI,0.008551587301587298,-0.0002981150793650883,0.017698908730158693,0.06566,72
li_institution,University of the Pacific,PI,0.0770138888888889,0.05738425925925925,0.0975462962962963,0.0,72
li_institution,University of the Pacific,AR,0.012222222222222218,-0.003611111111111113,0.028194444444444446,0.13595,72
