outcome,interaction,estimate,ci_lo,ci_hi,p,n_texts
QI,Name_x_Inst,-0.003714285714285724,-0.015071428571428585,0.007571428571428561,0.522235,400
QI,Name_x_Bibliometrics,-0.007214285714285726,-0.021107142857142863,0.006357142857142854,0.305275,400
QI,Inst_x_Bibliometrics,-0.011999999999999997,-0.024499999999999994,0.00024999999999999095,0.057525,400
PI,Name_x_Inst,-0.010458333333333323,-0.03154166666666665,0.009958333333333342,0.33171,400
PI,Name_x_Bibliometrics,0.006458333333333328,-0.015291666666666663,0.02841666666666666,0.567995,400
PI,Inst_x_Bibliometrics,-0.029291666666666674,-0.05879166666666667,0.0003333333333333266,0.053115,400
AR,Name_x_Inst,-0.0002499999999999958,-0.021249999999999995,0.020500000000000004,0.997785,400
AR,Name_x_Bibliometrics,-0.019749999999999997,-0.038,-0.0017499999999999924,0.034645,400
AR,Inst_x_Bibliometrics,-0.011250000000000008,-0.03950000000000001,0.01724999999999999,0.42622,400
