outcome,effect,k,mu,se,ci_lo,ci_hi,tau2,Q,I2
QI,HI_minus_LI,5,0.004943549048313906,0.007516339112803795,-0.009788475612781532,0.019675573709409346,0.0001966923674598217,16.05185611437043,0.7508076342386972
QI,HP_minus_LP,5,0.03025659708500365,0.008266274568550341,0.014054698930644982,0.04645849523936232,0.0002581782198674415,19.41230606950808,0.7939451404857557
QI,BF_minus_WM,5,0.0036717206044134293,0.003466994313887994,-0.003123588250807039,0.010467029459633898,2.4640201461911696e-05,7.018411899168653,0.4300704977897052
PI,HI_minus_LI,5,0.06921770976783988,0.021861806988442697,0.02636856807049219,0.11206685146518756,0.001997671007186277,33.09966577799336,0.8791528583149791
PI,HP_minus_LP,5,0.1478401064027245,0.03252831328073496,0.08408461237248398,0.211595600432965,0.004832681033806148,71.03870488786443,0.9436926671690586
PI,BF_minus_WM,5,0.024663542720461763,0.013132155078707398,-0.0010754812338047356,0.05040256667472826,0.0007171639125083041,36.17495181025627,0.8894262521487056
AR,HI_minus_LI,4,0.01573550427378906,0.017562284835174462,-0.01868657400315288,0.05015758255073101,0.0008871350587282799,10.88253782132935,0.7243290076952348
AR,HP_minus_LP,4,0.07230245041790498,0.009742563853055605,0.053207025265915996,0.09139787556989395,0.0,2.7109867685207485,0.0
AR,BF_minus_WM,4,0.00767591159237395,0.007349088762495005,-0.00672830238211626,0.02208012556686416,7.977684335131251e-05,4.584046569129118,0.3455563867515545
