outcome,effect,estimate,ci_lo,ci_hi,p,n_texts
QI,HI_minus_LI,0.0036458333333333334,-0.007232514880952385,0.014151785714285712,0.510665,480
QI,HP_minus_LP,0.027395833333333324,0.018645833333333327,0.035892857142857136,0.0,480
QI,BF_minus_WM,0.00811011904761904,-0.0001640625000000069,0.016949404761904756,0.064815,480
PI,HI_minus_LI,0.06928819444444444,0.05062500000000001,0.08840277777777779,0.0,480
PI,HP_minus_LP,0.13446180555555556,0.11574652777777779,0.15407986111111113,0.0,480
PI,BF_minus_WM,0.033003472222222226,0.014739149305555551,0.05022569444444445,0.0001,480
AR,HI_minus_LI,0.019479166666666662,0.0018749999999999993,0.03770833333333334,0.03137,480
AR,HP_minus_LP,0.0490625,0.033437499999999995,0.06520833333333333,0.0,480
AR,BF_minus_WM,0.013229166666666669,-0.0036458333333333325,0.029895833333333337,0.122385,480
