outcome,interaction,estimate,ci_lo,ci_hi,p,n_texts
QI,Name_x_Inst,-0.00026785714285715116,-0.0183638392857143,0.01922693452380946,0.976355,480
QI,Name_x_Bibliometrics,-0.008839285714285723,-0.023363095238095242,0.00517857142857142,0.22453,480
QI,Inst_x_Bibliometrics,-0.009553571428571427,-0.02333333333333333,0.0035119047619047664,0.171015,480
PI,Name_x_Inst,-0.002118055555555548,-0.03177083333333332,0.02597309027777771,0.89005,480
PI,Name_x_Bibliometrics,0.01267361111111111,-0.009965277777777778,0.035660590277777696,0.27921,480
PI,Inst_x_Bibliometrics,-0.019201388888888893,-0.0471875,0.008889756944444363,0.181095,480
AR,Name_x_Inst,0.006041666666666669,-0.027708333333333324,0.043125000000000004,0.74377,480
AR,Name_x_Bibliometrics,-0.020624999999999998,-0.042708333333333334,0.0006249999999999996,0.06579,480
AR,Inst_x_Bibliometrics,-0.011458333333333345,-0.0375,0.014374999999999995,0.38334,480
