outcome,effect,k,mu,se,ci_lo,ci_hi,tau2,Q,I2
QI,HI_minus_LI,6,0.0036815108249981035,0.006979280411547016,-0.009997878781634047,0.017360900431630254,0.00017583480772475046,16.198834307067962,0.6913358143420003
QI,HP_minus_LP,6,0.027226944621402377,0.007543760589683799,0.012441173865622131,0.042012715377182624,0.00024254364872454702,20.867431783877183,0.760392172271858
QI,BF_minus_WM,6,0.004256511408392856,0.0034334507641993577,-0.002473052089437885,0.010986074906223598,2.5091598772305935e-05,8.15121511174715,0.3865945222333498
PI,HI_minus_LI,6,0.0648197771106979,0.019400687731531016,0.026794429156897115,0.1028451250644987,0.0017853240471713213,33.15978227456893,0.8492149327580288
PI,HP_minus_LP,6,0.13255657971236606,0.028941946826458457,0.07583036393250749,0.18928279549222465,0.004517419788129052,74.82890707244061,0.9331809030010343
PI,BF_minus_WM,6,0.02778182488637352,0.012805548840747367,0.002682949158508679,0.05288070061423836,0.0007264436946030296,38.07573801204074,0.8686827817121012
AR,HI_minus_LI,5,0.01944441307945433,0.015916775298766964,-0.01175246650612892,0.05064129266503758,0.0007925479648655499,11.670183912926893,0.6572461899619887
AR,HP_minus_LP,5,0.06255064105983545,0.013025090271903137,0.037021464126905296,0.0880798179927656,0.00041321319994842555,7.86807722796556,0.49161658126806723
AR,BF_minus_WM,5,0.007168271173763249,0.006447739651081365,-0.005469298542356227,0.019805840889882725,5.02586207810767e-05,5.045868843628727,0.20727230057699889
