outcome,effect,k,mu,se,ci_lo,ci_hi,tau2,Q,I2
QI,HI_minus_LI,5,0.006090933935489994,0.003570320009457387,-0.0009068932830464836,0.013088761154026473,0.0,0.6267926677765475,0.0
QI,BF_minus_WM,5,-0.0028786077184353625,0.003278541020230074,-0.009304548118086307,0.0035473326812155825,0.0,2.0106432390778317,0.0
PI,HI_minus_LI,5,0.06100789654520926,0.021587514298553132,0.018696368520045123,0.1033194245703734,0.0016823982768692093,19.39391920078002,0.7937497852502592
PI,BF_minus_WM,5,0.012348161050208835,0.006201679045948153,0.00019287012015045506,0.024503451980267217,0.0,3.7565519631903985,0.0
AR,HI_minus_LI,4,0.021807215592739883,0.010587804992369745,0.0010551178076951828,0.04255931337778458,0.0,2.2079618806870593,0.0
AR,BF_minus_WM,4,-0.002344672736582602,0.008043337372302402,-0.01810961398629531,0.013420268513130103,8.044969852505376e-05,3.919357756988716,0.23456847116071083
