outcome,interaction,estimate,ci_lo,ci_hi,p,n_texts
QI,Name_x_Inst,-0.0125,-0.028857142857142862,0.003285714285714295,0.127755,400
PI,Name_x_Inst,0.021916666666666668,-0.012083333333333335,0.05583333333333333,0.209705,400
AR,Name_x_Inst,-0.007500000000000007,-0.036500000000000005,0.02149999999999999,0.5953,400
