outcome,n,mean,delta,p_lo,p_hi,tost_p,equivalent
QI,400,-0.00010714285714286454,0.1,0.0,5.6856413264408e-80,5.6856413264408e-80,True
PI,400,0.012374999999999994,0.1,0.0,1.5589435060370706e-23,1.5589435060370706e-23,True
AR,400,-0.004749999999999997,0.1,0.0,2.724111626004498e-34,2.724111626004498e-34,True
