dropped_from,dropped_token,outcome,estimate,ci_lo,ci_hi,p,n_texts
bf_name,aisha.mosley,QI,-0.0015966386554621928,-0.010462184873949594,0.0075640756302520155,0.7242,68
bf_name,aisha.mosley,PI,0.013284313725490188,-0.004509803921568631,0.03137254901960783,0.15195,68
bf_name,aisha.mosley,AR,-0.0020588235294117653,-0.018529411764705874,0.014411764705882351,0.805745,68
bf_name,ebony.mosley,QI,0.0019747899159663815,-0.007016806722689086,0.011260504201680665,0.67924,68
bf_name,ebony.mosley,PI,0.015147058823529408,-0.0017647058823529428,0.032647058823529404,0.0849,68
bf_name,ebony.mosley,AR,-0.008235294117647056,-0.025294117647058818,0.009117647058823527,0.36498,68
bf_name,kenya.mosley,QI,-0.00453061224489797,-0.012530612244897965,0.0038367346938775475,0.278945,70
bf_name,kenya.mosley,PI,0.004380952380952377,-0.012142857142857143,0.020285714285714282,0.604105,70
bf_name,kenya.mosley,AR,-0.010285714285714283,-0.026285714285714284,0.005428571428571432,0.21389,70
bf_name,lakisha.mosley,QI,0.0012698412698412586,-0.006785714285714304,0.009801587301587292,0.77608,72
bf_name,lakisha.mosley,PI,0.013518518518518513,-0.0035648148148148128,0.031064814814814806,0.12676,72
bf_name,lakisha.mosley,AR,-0.008055555555555554,-0.023888888888888887,0.007500000000000001,0.333435,72
bf_name,latoya.mosley,QI,0.002077922077922076,-0.007186147186147194,0.011689393939393848,0.673125,66
bf_name,latoya.mosley,PI,0.010757575757575754,-0.006868686868686864,0.02914141414141413,0.24586,66
bf_name,latoya.mosley,AR,2.0185873175002845e-18,-0.01606060606060606,0.01636363636363637,0.98369,66
bf_name,precious.mosley,QI,-3.9682539682546635e-05,-0.00833333333333334,0.008730158730158723,0.987385,72
bf_name,precious.mosley,PI,0.013240740740740733,-0.003888888888888892,0.03046296296296296,0.14099,72
bf_name,precious.mosley,AR,-0.003611111111111109,-0.019999999999999997,0.012777777777777777,0.683865,72
bf_name,tamika.mosley,QI,-0.0017374517374517447,-0.010000965250965263,0.006602316602316597,0.68012,74
bf_name,tamika.mosley,PI,0.011261261261261256,-0.005902027027027036,0.028198198198198188,0.196725,74
bf_name,tamika.mosley,AR,-0.002162162162162161,-0.018108108108108104,0.013513513513513518,0.801095,74
bf_name,tanisha.mosley,QI,0.0019183673469387675,-0.0064081632653061335,0.010694897959183587,0.67377,70
bf_name,tanisha.mosley,PI,0.017428571428571422,-4.76190476190589e-05,0.03485714285714286,0.05271,70
bf_name,tanisha.mosley,AR,-0.003428571428571427,-0.02057142857142857,0.013999999999999995,0.707125,70
wm_name,brad.mosley,QI,8.658008658008055e-05,-0.008961038961038965,0.009523809523809518,0.99049,66
wm_name,brad.mosley,PI,0.0105050505050505,-0.007121212121212123,0.02883838383838383,0.25708,66
wm_name,brad.mosley,AR,-0.0048484848484848485,-0.020909090909090905,0.010909090909090908,0.55847,66
wm_name,brett.mosley,QI,4.0241448692145894e-05,-0.008128772635814897,0.008490945674044252,0.998875,71
wm_name,brett.mosley,PI,0.012018779342723001,-0.005399061032863853,0.02976525821596243,0.180515,71
wm_name,brett.mosley,AR,-0.0047887323943661955,-0.02084507042253521,0.011267605633802814,0.57889,71
wm_name,hunter.mosley,QI,0.0026501035196687278,-0.006086956521739135,0.011884057971014479,0.56902,69
wm_name,hunter.mosley,PI,0.014927536231884054,-0.0025603864734299567,0.03246376811594202,0.096335,69
wm_name,hunter.mosley,AR,-0.0008695652173913045,-0.01681159420289855,0.015652173913043473,0.91754,69
wm_name,jake.mosley,QI,-0.0025142857142857215,-0.010628571428571435,0.005866666666666659,0.545345,75
wm_name,jake.mosley,PI,0.00924444444444444,-0.006088888888888892,0.02435555555555555,0.241605,75
wm_name,jake.mosley,AR,-0.007466666666666665,-0.023200000000000002,0.00853333333333333,0.365335,75
wm_name,logan.mosley,QI,0.0007792207792207687,-0.00857142857142858,0.01051948051948051,0.880065,66
wm_name,logan.mosley,PI,0.012878787878787873,-0.005405303030303038,0.031616161616161605,0.17896,66
wm_name,logan.mosley,AR,-0.004848484848484845,-0.02273484848484848,0.013030303030303027,0.624095,66
wm_name,matthew.mosley,QI,0.00046966731898238304,-0.007866927592954997,0.009081213307240616,0.91971,73
wm_name,matthew.mosley,PI,0.013287671232876707,-0.004200913242009138,0.03091324200913242,0.13613,73
wm_name,matthew.mosley,AR,-0.0032876712328767104,-0.019178082191780816,0.012876712328767127,0.70242,73
wm_name,seth.mosley,QI,-0.002857142857142865,-0.011262939958592141,0.005879917184265006,0.506765,69
wm_name,seth.mosley,PI,0.013719806763285016,-0.0038164251207729537,0.03202898550724637,0.136395,69
wm_name,seth.mosley,AR,-0.008115942028985506,-0.02492753623188405,0.00869565217391304,0.35059,69
wm_name,todd.mosley,QI,0.0006841046277665924,-0.007887323943661978,0.00933601609657947,0.88252,71
wm_name,todd.mosley,PI,0.012582159624413138,-0.004319248826291079,0.029624413145539895,0.1476,71
wm_name,todd.mosley,AR,-0.003661971830985912,-0.019999999999999997,0.012401408450703618,0.68729,71
