outcome,effect,estimate,ci_lo,ci_hi,p,n_texts
QI,HI_minus_LI,0.007464285714285706,-0.0012866071428571596,0.01621428571428571,0.10091,400
QI,BF_minus_WM,-0.00010714285714286454,-0.008071428571428582,0.008286607142857066,0.973345,400
PI,HI_minus_LI,0.067875,0.043457291666666675,0.093125,0.0,400
PI,BF_minus_WM,0.012374999999999994,-0.003541666666666671,0.02841666666666666,0.137255,400
AR,HI_minus_LI,0.017750000000000002,0.0010000000000000041,0.035,0.04006,400
AR,BF_minus_WM,-0.004749999999999997,-0.020249999999999994,0.010500000000000002,0.563745,400
